epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,4.812887487335205,2.316102906417847,89.858,90.0,49.862,50.0
2,2.348778236465454,2.337464287185669,90.026,90.0,49.98,50.0
3,2.331211242218018,2.338865634918213,89.966,90.0,49.914,50.0
4,2.327864817276001,2.3155920738220215,89.998,90.0,49.922,50.0
5,2.321337867279053,2.308471095275879,89.884,90.0,49.698,50.0
